"PackageIdentifier","ManifestValue","ManifestKey","RemoveLabel"
"115.115Chrome","115.115Chrome","PackageIdentifier","Policy-Test-1.2"
"3d-io.Exr-IO","3d-io.Exr-IO","PackageIdentifier","Validation-No-Executables"
"ABC.ABCEBankAssistant","ABC.ABCEBankAssistant","PackageIdentifier","Policy-Test-1.8"
"abelhadigital.HostsMan","softpedia-secure-download.com","InstallerUrl","Validation-Domain"
"abgox.InputTip","github.com","InstallerUrl","Validation-Domain"
"AdGuard.AdGuard","agrd.io","InstallerUrl","Validation-Domain"
"AdGuard.AdGuard.Nightly","agrd.io","InstallerUrl","Validation-Domain"
"AdGuard.AdGuardVPN","agrd.io","InstallerUrl","Validation-Domain"
"AdGuard.AdGuardVPN.Nightly","agrd.io","InstallerUrl","Validation-Domain"
"Agretis.SmartInstallMaker","Agretis.SmartInstallMaker","PackageIdentifier","Policy-Test-1.2"
"Airspy.SDRSharp.DotNet9","Airspy.SDRSharp.DotNet9","PackageIdentifier","Policy-Test-2.9"
"AlexanderSeeligerSoftware.BackupServiceHome","download.bdightbits.de","InstallerUrl","Validation-Domain"
"Alibaba.UCCloudDrive","Alibaba.UCCloudDrive","PackageIdentifier","Validation-No-Executables"
"Amazon.AthenaODBCDriver.1","Amazon.AthenaODBCDriver.1","PackageIdentifier","Validation-No-Executables"
"Amazon.AthenaODBCDriver.2","Amazon.AthenaODBCDriver.2","PackageIdentifier","Validation-No-Executables"
"Amazon.KindlePreviewer","Amazon.KindlePreviewer","PackageIdentifier","Policy-Test-1.2"
"Amazon.KindlePreviewer","d2bzeorukaqrvt.cloudfront.net","InstallerUrl","Validation-Domain"
"Amazon.NoSQLWorkbench","Amazon.NoSQLWorkbench","PackageIdentifier","Validation-No-Executables"
"Amazon.NoSQLWorkbench","dy9cqqaswpltd.cloudfront.net","InstallerUrl","Validation-Domain"
"AmyXun.AxGlyph","download.s21i.co99.net","InstallerUrl","Validation-Domain"
"AmyXun.AxMath","download.s21i.co99.net","InstallerUrl","Validation-Domain"
"AndyFul.ConfigureDefender","raw.githubusercontent.com","InstallerUrl","Validation-domain"
"Anysphere.Cursor","download.todesktop.com","InstallerUrl","Validation-Domain"
"AnyTXT.AnyTXTSearcher","sourceforge.net","InstallerUrl","Validation-Unapproved-URL"
"APIDocumentation.Scalar","download.todesktop.com","InstallerUrl","Validation-Domain"
"Appeon.PowerServerToolkit2022R3-MR03","Appeon.PowerServerToolkit2022R3-MR03","PackageIdentifier","Policy-Test-1.2"
"Appest.Dida","Appest.Dida","PackageIdentifier","Policy-Test-1.8"
"ArtisticStyle.ArtisticStyle","sourceforge.net","InstallerUrl","Validation-Domain"
"ASGARDEXMaintainers.ASGARDEX","github.com","InstallerUrl","Validation-Domain"
"Atos.emotachDirect","www.fzhsw.bazg.admin.ch","InstallerUrl","Validation-Domain"
"Audient.iD","d9w4fhj63j193.cloudfront.net","InstallerUrl","Validation-Domain"
"AuraMarker.Lattics","media.zine.la","InstallerUrl","Validation-Domain"
"Baidu.BaiduWenku","Baidu.BaiduWenku","PackageIdentifier","Validation-No-Executables"
"Balsamiq.Wireframes","build_archives.s3.amazonaws.com","InstallerUrl","Validation-Domain"
"Beanbag.RBTools","downloads.reviewboard.org","InstallerUrl","Validation-Domain"
"BellSoft.LibericaJDK.24.Full","download.bell-sw.com","InstallerUrl","Validation-Domain"
"BellSoft.LibericaJRE.22","download.bell-sw.com","InstallerUrl","Validation-Domain"
"BellSoft.LibericaJRE.23.Full","download.bell-sw.com","InstallerUrl","Validation-Domain"
"BellSoft.LibericaJRE.24.Full","download.bell-sw.com","InstallerUrl","Validation-Domain"
"Bilibili.Bcut","boss.hdslb.com","InstallerUrl","Validation-Domain"
"BioSilico.EssayWriter","download.fasteressays.com","InstallerUrl","Validation-Domain"
"Bitvise.SSH.Client","Bitvise.SSH.Client","PackageIdentifier","Policy-Test-2.7"
"BreakPointSoftware.HexWorkshop","www.bpsoft.com","InstallerUrl","Validation-Domain"
"BrightSign.BAconnected","downloads.bsn.cloud","InstallerUrl","Validation-Domain"
"BrinkSoftware.IbisVoorInfra","2804826.fs1.hubspotusercontent-na1.net","InstallerUrl","Validation-Domain"
"Brinno.BrinnoVideoPlayer","Brinno.BrinnoVideoPlayer","PackageIdentifier","Validation-Domain"
"Buanzo.FFmpegforAudacity","Buanzo.FFmpegforAudacity","PackageIdentifier","Validation-No-Executables"
"Bunny-Wabbit.ISOCreator","sourceforge.net","InstallerUrl","Validation-Unapproved-URL"
"ByteDance.FeiLian","cdn.isealsuite.com","InstallerUrl","Validation-Domain"
"Calibrite.PROFILER","Calibrite.PROFILER","PackageIdentifier","Policy-Test-1.2"
"canghaicheng.ZhuoMianShiJie","sourceforge.net","InstallerUrl","Validation-Unapproved-URL"
"CareScribe.CaptionEd","storage.googleapis.com","InstallerUrl","Validation-domain"
"CareScribe.TalkType","storage.googleapis.com","InstallerUrl","Validation-Domain"
"Carrier.BlockLoad","www.shareddocs.com","InstallerUrl","Validation-Domain"
"Carrier.BuildingSystemOptimizer","www.shareddocs.com","InstallerUrl","Validation-Domain"
"Carrier.EngineeringEconomicAnalysis","www.shareddocs.com","InstallerUrl","Validation-Domain"
"Carrier.HourlyAnalysisProgram","www.shareddocs.com","InstallerUrl","Validation-Domain"
"Carrier.PLVPro","www.shareddocs.com","InstallerUrl","Validation-Domain"
"Carrier.SystemDesignLoad","www.shareddocs.com","InstallerUrl","Validation-Domain"
"Castr.Castr","download.todesktop.com","InstallerUrl","Validation-Domain"
"CedricLouvrier.Pinga","css-ig.net","InstallerUrl","Validation-Domain"
"Chainguard.chainctl","dl.enforce.dev","InstallerUrl","Validation-Domain"
"ChrisLong.EZSignIt","www.ssesetup.com","InstallerUrl","Validation-Domain"
"ChrisLong.NTFSHiddenDataFinder","ChrisLong.NTFSHiddenDataFinder","PackageIdentifier","Policy-Test-1.2"
"ChrisPirih.SkiFree","ski.ihoc.net","InstallerUrl","Validation-Domain"
"ChristianThoeing.PasswordTech","sourceforge.net","InstallerUrl","Validation-Unapproved-URL"
"Chromium.ChromeDriver","storage.googleapis.com","InstallerUrl","Validation-Domain"
"Cisco.ChezScheme","Cisco.ChezScheme","PackageIdentifier","Policy-Test-2.7"
"Cisco.JabberVDIAgent","binaries.webex.com","InstallerUrl","Validation-Domain"
"CISDI.Qingtui","qtstatic.oss-cn-hangzhou.aliyuncs.com","InstallerUrl","Validation-Domain"
"CISDI.Qingtui","CISDI.Qingtui","PackageIdentifier","Policy-Test-1.2"
