"PackageIdentifier","ManifestValue","ManifestKey","RemoveLabel"
"Clevertouch.Clevershare","saharaplc.s3.eu-west-2.amazonaws.com","InstallerUrl","Validation-Domain"
"Clevertouch.Clevershare.EXE","saharaplc.s3.eu-west-2.amazonaws.com","InstallerUrl","Validation-Domain"
"ClickUp.ClickUp","download.todesktop.com","InstallerUrl","Validation-Domain"
"CloudImperiumGames.RSILauncher","install.robertsspaceindustries.com","InstallerUrl","Validation-Domain"
"cmlanche.lightningvine","sdtpub.s3.bitiful.net","InstallerUrl","Validation-Domain"
"CMU.CLAN","dali.talkbank.org","InstallerUrl","Validation-Domain"
"CMU.CLAN","CMU.CLAN","PackageIdentifier","Policy-Test-1.8"
"CodeBlocks.CodeBlocks","sourceforge.net","InstallerUrl","Validation-Unapproved-URL"
"CodeBlocks.CodeBlocks.MinGW","sourceforge.net","InstallerUrl","Validation-Unapproved-URL"
"CologneCodeCompany.XYplorer","CologneCodeCompany.XYplorer","PackageIdentifier","Policy-Test-2.7"
"CologneCodeCompany.XYplorerPortable","CologneCodeCompany.XYplorerPortable","PackageIdentifier","Policy-Test-2.7"
"Comfy.ComfyUI-Desktop","download.todesktop.com","InstallerUrl","Validation-Domain"
"ContourDesign.ContourShuttle","cdn.shopify.com","InstallerUrl","Validation-Domain"
"Convertilla.Convertilla","Convertilla.Convertilla","PackageIdentifier","Policy-Test-1.2"
"Corel.MindManager.23","download.mindjet.com","InstallerUrl","Validation-Domain"
"CrossPlusA.Balabolka","www.cross-plus-a.com","InstallerUrl","Validation-Domain"
"Crucial.StorageExecutive","Crucial.StorageExecutive","PackageIdentifier","Policy-Test-1.2"
"CrystalDewWorld.CrystalMarkRetro","sourceforge.net","InstallerUrl","Validation-Unapproved-URL"
"CTerm.CTerm","gitee.com","InstallerUrl","Validation-Domain"
"CurveSeries.CurveSeries","www.c3excel.com","InstallerUrl","Validation-Domain"
"DanielGehriger.MSI2XML","sourceforge.net","InstallerUrl","Validation-Unapproved-URL"
"Dedoose.Dedoose","downloads.ctfassets.net","InstallerUrl","Validation-Domain"
"Delinea.DelineaConnectionManager","downloads.cm.thycotic.com","InstallerUrl","Validation-Domain"
"Delinea.PrivilegeManagerAgents","tmsnuget.thycotic.com","InstallerUrl","Validation-Domain"
"Delinea.ThycoticDirectoryServicesAgent","Delinea.ThycoticDirectoryServicesAgent","PackageIdentifier","Validation-No-Executables"
"Delinea.ThycoticLocalSecurityAgent","Delinea.ThycoticLocalSecurityAgent","PackageIdentifier","Validation-No-Executables"
"DelineaInc.ThycoticLocalSecurityAgent","DelineaInc.ThycoticLocalSecurityAgent","PackageIdentifier","Validation-No-Executables"
"DeltaChat.DeltaChat","download.delta.chat","InstallerUrl","Validation-Domain"
"Dialpad.DialpadMeetings","storage.googleapis.com","InstallerUrl","Validation-Domain"
"DigitalScience.Papers","update.readcube.com","InstallerUrl","Validation-Domain"
"DirkJansen.MailCheck2","www.d-jan.de","InstallerUrl","Validation-Domain"
"DisplayLink.GraphicsDriver.HotDesking","DisplayLink.GraphicsDriver.HotDesking","PackageIdentifier","Policy-Test-2.7"
"DistroaAV.DistroAV","DistroaAV.DistroAV","PackageIdentifier","Validation-No-Executables"
"DNAGenics.DNAKitStudio","dgadmixstorage.blob.core.windows.net","InstallerUrl","Validation-Domain"
"DocuSign.DocusignEdit","tools.springcm.com","InstallerUrl","Validation-Domain"
"dougcunha.VsExtensionsTool","dougcunha.VsExtensionsTool","PackageIdentifier","Policy-Test-2.7"
"Doxim.StriataReader.EXE","Doxim.StriataReader.EXE","PackageIdentifier","Validation-No-Executables"
"drsaint.WixTool.Red","sourceforge.net","InstallerUrl","Validation-Unapproved-URL"
"drsaint.WixTool.Yellow","sourceforge.net","InstallerUrl","Validation-Unapproved-URL"
"Dutchview.Flexwhere","s3.eu-central-1.amazonaws.com","InstallerUrl","Validation-Domain"
"DWANGO.SeirenVoice.yukari.Trial","sv-packed-release.s3.ap-northeast-1.amazonaws.com","InstallerUrl","Validation-Domain"
"Dynare.Dynare","Dynare.Dynare","PackageIdentifier","policy-Test-1.8"
"EasternGraphics.pCon-basket","downloads.pcon-solutions.com","InstallerUrl","Validation-Domain"
"EasternGraphics.pCon-planner.ME","downloads.pcon-solutions.com","InstallerUrl","Validation-Domain"
"EasternGraphics.pCon-planner.Pro","downloads.pcon-solutions.com","InstallerUrl","Validation-Domain"
"EasternGraphics.pCon-planner.STD","downloads.pcon-solutions.com","InstallerUrl","Validation-Domain"
"EastMoney.EastMoney","EastMoney.EastMoney","PackageIdentifier","Policy-Test-2.9"
"EastMoney.EastmoneySpeciality","EastMoney.EastmoneySpeciality","PackageIdentifier","Policy-Test-2.9"
"Easybits.MagicDesktop.Kiosk","Easybits.MagicDesktop.Kiosk","PackageIdentifier","Policy-Test-2.9"
"EclipseFoundation.EclipseIDEforJavaDevelopers","ftp.halifax.rwth-aachen.de","InstallerUrl","Validation-domain"
"EDPB.WebsiteAuditTool","code.europa.eu","InstallerUrl","Validation-Domain"
"ElectronCommunity.ElectronFiddle","github.com","InstallerUrl","Validation-Forbidden-URL-Error"
"Element.Element","packages.element.io","InstallerUrl","URL-Validation-Error"
"ESET.Nod32","ESET.Nod32","PackageIdentifier","Policy-Test-1.2"
"ESET.Security.SmallBusiness","ESET.Security.SmallBusiness","PackageIdentifier","Policy-Test-1.2"
"EuSoft.Dehelper","static.frdic.com","InstallerUrl","Validation-Domain"
"EuSoft.Eshelper","static.frdic.com","InstallerUrl","Validation-Domain"
"EuSoft.Frhelper","static.frdic.com","InstallerUrl","Validation-Domain"
"Fathom.Fathom","storage.googleapis.com","InstallerUrl","Validation-Domain"
"FlightGear.FlightGear","sourceforge.net","InstallerUrl","Validation-Unapproved-URL"
"FlowJo.FlowJo","fjinstallers.s3.amazonaws.com","InstallerUrl","Validation-Domain"
"flyingpie.windows-terminal-quake.prerelease","flyingpie.windows-terminal-quake.prerelease","PackageIdentifier","Policy-Test-2.9"
"FreedomScientific.Fusion.2024","software.vfo.digital","InstallerUrl","Validation-Domain"
"FreedomScientific.Fusion.2025","software.vfo.digital","InstallerUrl","Validation-Domain"
"FreedomScientific.JAWS.2025","software.vfo.digital","InstallerUrl","Validation-Domain"
"FxSound.FxSound","FxSound.FxSound","PackageIdentifier","Policy-Test-1.2"
"GAI.GAI","webpath.iche2.com","InstallerUrl","Validation-Domain"
"GamaPlatform.Gama","GamaPlatform.Gama","PackageIdentifier","Policy-Test-2.7"
"GameSir.GameSirConnect","xjdl.bigeyes.com","InstallerUrl","Validation-Domain"
"GameSir.GameSirT4kApp","xjdl.bigeyes.com","InstallerUrl","Validation-Domain"
"GauzyTech.NeatConverter","neat-reader.yuezhi.ink","InstallerUrl","Validation-Domain"
"GauzyTech.NeatReader","neat-reader-release.oss-cn-hongkong.aliyuncs.com","InstallerUrl","Validation-Domain"
"Geeks3D.FurMark.2","gpumagick.com","InstallerUrl","Validation-Domain"
"GeoDa.GeoDa","GeoDa.GeoDa","PackageIdentifier","Policy-Test-2.7"
"Glodon.CADReader.CN","yuntu-f.kuaicad.com","InstallerUrl","URL-Validation-Error"
"GnuCash.GnuCash","GnuCash.GnuCash","PackageIdentifier","Policy-Test-1.8"
"GnuWin32.Flex","sourceforge.net","InstallerUrl","Validation-Unapproved-URL"
"GnuWin32.Patch","sourceforge.net","InstallerUrl","Validation-Unapproved-URL"
"GOG.Galaxy","cdn.gog.com","InstallerUrl","Validation-Forbidden-URL-Error"
"GovernmentOfThePRC.GuangdongProvince.YueZhengYi","dldir1.qq.com","InstallerUrl","Validation-Domain"
"GovernmentOfThePRC.HeNan.ZhengZhou.ZhengZhengDing","zwdd-zhegnzhou.oss-cn-beijing.aliyuncs.com","InstallerUrl","Validation-Domain"
"GovernmentOfThePRC.SAT.ETB.WithholdingSide","file.etax.chinatax.gov.cn","InstallerUrl","Validation-Domain"
"GPSoftware.DirectoryOpus","cdn2.gpsoft.com.au","InstallerUrl","Validation-Domain"
"gretl.gretl","gretl.gretl","PackageIdentifier","Validation-Unapproved-URL"
"h3poteto.whalebird-desktop","github.com","InstallerUrl","URL-Validation-Error"
"HaiYing.OfficeAI","downloadcdn.office-ai.cn","InstallerUrl","Validation-Domain"
"Hasleo.BackupSuiteFree","www.easyuefi.com","InstallerUrl","Validation-Domain"
"HeartbeatChat.Heartbeat","download.todesktop.com","InstallerUrl","Validation-Domain"
"HMCL.HMCL.Dev","HMCL.HMCL.Dev","PackageIdentifier","Possible-Duplicate"
"HMCL.HMCL.Dev.Maven","HMCL.HMCL.Dev.Maven","PackageIdentifier","Possible-Duplicate"
"HMCL.HMCL.Dev.Maven.TencentCloudMirror","mirrors.cloud.tencent.com","InstallerUrl","Validation-Domain"
"HMCL.HMCL.Dev.Maven.TencentCloudMirror","HMCL.HMCL.Dev.Maven.TencentCloudMirror","PackageIdentifier","Possible-Duplicate"
"HMCL.HMCL.Stable","github.com","InstallerUrl","Validation-Domain"
"HMCL.HMCL.Stable.Maven","HMCL.HMCL.Stable.Maven","PackageIdentifier","Possible-Duplicate"
"HMCL.HMCL.Stable.Maven.TencentCloudMirror","mirrors.cloud.tencent.com","InstallerUrl","Validation-Domain"
"HomeDev.PatchCleanerPortable","deac-riga.dl.sourceforge.net","InstallerUrl","Validation-Unapproved-URL"
"HP.ConnectivityKit","updates.moravia-consulting.com","InstallerUrl","Validation-Domain"
"HP.PrimeVirtualCalculator","updates.moravia-consulting.com","InstallerUrl","Validation-Domain"
"HuoHuaSiWei.HuoHuaBianCheng","img.txqn.huohua.cn","InstallerUrl","Validation-Domain"
"HuoHuaSiWei.HuoHuaSiWei","pkm-01.classpodcdn.com","InstallerUrl","Validation-Domain"
"HydrologicEngineeringCenter.HEC-MetVue","www.hec.usace.army.mil","InstallerUrl","Validation-Domain"
"Ideamerit.GalaxyModeler","www.datensen.com","InstallerUrl","Validation-Domain"
"Ideamerit.LunaModeler","www.datensen.com","InstallerUrl","Validation-Domain"
"Ideamerit.MeteorModeler","www.datensen.com","InstallerUrl","Validation-Domain"
"Ideamerit.MoonModeler","www.datensen.com","InstallerUrl","Validation-Domain"
"IDMComputerSolutions,Inc.UEStudio","downloads.ultraedit.com","InstallerUrl","Validation-Domain"
"J2S3.MerciApp","p-merci-windows-adapter.s3.eu-west-3.amazonaws.com","InstallerUrl","Validation-Domain"
"jgaa.WarSetup","sourceforge.net","InstallerUrl","Validation-Unapproved-URL"
"JiriPolasek.MediaControlsforCommandPalette","JiriPolasek.MediaControlsforCommandPalette","PackageIdentifier","Policy-Test-2.7"
"JustArchiNET.ArchiSteamFarm","JustArchiNET.ArchiSteamFarm","PackageIdentifier","Policy-Test-2.7"
"JustArchiNET.ArchiSteamFarm","JustArchiNET.ArchiSteamFarm","PackageIdentifier","Policy-Test-2.7"
"kangfenmao.CherryStudio","kangfenmao.CherryStudio","PackageIdentifier","Policy-Test-2.7"
"kangyu-california.PersistentWindows","kangyu-california.PersistentWindows","PackageIdentifier","Policy-Test-2.5"
"KaringX.Karing","KaringX.Karing","PackageIdentifier","Policy-Test-1.2"
"KDE.KStars","www.indilib.org","InstallerUrl","Validation-Domain"
"KDE.Parley","KDE.Parley","PackageIdentifier","Policy-Test-2.7"
"KeeperSecurity.KeeperDesktop","KeeperSecurity.KeeperDesktop","PackageIdentifier","Policy-Test-2.8"
"KeeyaiSoft.Flame","sourceforge.net","InstallerUrl","Validation-Unapproved-URL"
"Kenkun.AviUtlExEdit2","spring-fragrance.mints.ne.jp","InstallerUrl","Validation-Domain"
"kevinberger-ch.SafePDFViewer","gitlab.com","InstallerUrl","Validation-Domain"
"KindaBrazy.LynxHub","KindaBrazy.LynxHub","PackageIdentifier","Policy-Test-2.9"
"KindaBrazy.LynxHub","KindaBrazy.LynxHub","PackageIdentifier","Policy-Test-1.2"
"Kingsoft.PowerWord","download.iciba.com","InstallerUrl","Validation-Domain"
"KRTirtho.Flemozi","KRTirtho.Flemozi","PackageIdentifier","Validation-Installation-Error"
"Kubus.BCFManager.Revit.2022","download.bimcollab.com","InstallerUrl","Validation-Domain"
"Kubus.BCFManager.Revit.2023","download.bimcollab.com","InstallerUrl","Validation-Domain"
"Kubus.BCFManager.Revit.2024","download.bimcollab.com","InstallerUrl","Validation-Domain"
"Kubus.BCFManager.Revit.2025","download.bimcollab.com","InstallerUrl","Validation-Domain"
"Kubus.BCFManager.Standalone","download.bimcollab.com","InstallerUrl","Validation-Domain"
"KurtZimmermann.RegCool","KurtZimmermann.RegCool","PackageIdentifier","Validation-No-Executables"
"Lazarus.Lazarus","sourceforge.net","InstallerUrl","Validation-Unapproved-URL"
"Lebo.Lebo","download.mirrorcast.cn","InstallerUrl","Validation-Domain"
"LEERINA.ShanaEncoder","sourceforge.net","InstallerUrl","Validation-Unapproved-URL"
"LeNgocKhoa.Laragon","github.com","InstallerUrl","URL-Validation-Error"
"LeoKlaus.HeadsetControl-GUI","LeoKlaus.HeadsetControl-GUI","PackageIdentifier","Policy-Test-1.2"
"LifeAt.LifeAt","download.todesktop.com","InstallerUrl","Validation-Domain"
"LinearOrbit.Linear","download.todesktop.com","InstallerUrl","Validation-Domain"
"Logitech.OnboardMemoryManager","download01.logi.com","InstallerUrl","Validation-Domain"
"Logitech.Sync","Logitech.Sync","PackageIdentifier","Policy-Test-2.5"
"LukasHermann.stagetimer-io","storage.googleapis.com","InstallerUrl","Validation-Domain"
"LuxTrust.LuxTrustMiddleware","gitlab.com","InstallerUrl","Validation-Domain"
"Macabacus.Macabacus","Macabacus.Macabacus","PackageIdentifier","Policy-Test-1.8"
"Macabacus.Macabacus","softwarecdn.blob.core.windows.net","InstallerUrl","Validation-Domain"
"Macabacus.Macabacus","Macabacus.Macabacus","PackageIdentifier","Validation-No-Executables"
"MacmillanLearning.iClickerCloud","artifactory.reef-education.com","InstallerUrl","Validation-Domain"
"Magnate.SpeedManager","file2.speedtest.cn","InstallerUrl","Validation-Domain"
"Magnate.SpeedManager.Pro","file2.speedtest.cn","InstallerUrl","Validation-Domain"
"MAILPLUGInc.MAILPLUGMessengerDesktop","chat.mailplug.com","InstallerUrl","URL-Validation-Error"
"Makeblock.xToolCreativeSpace","storage-us.atomm.com","InstallerUrl","Validation-Domain"
"MartiCliment.UniGetUI","github.com","InstallerUrl","Validation-Domain"
"MartiCliment.UniGetUI","MartiCliment.UniGetUI.Pre-Release","PackageIdentifier","Validation-No-Executables"
"MartiCliment.UniGetUI.Pre-Release","MartiCliment.UniGetUI.Pre-Release","PackageIdentifier","Validation-No-Executables"
"MaxCut.MaxCut","s3.amazonaws.com","InstallerUrl","Validation-Domain"
"MAXHUB.MAXHUBShare","ifpserver.com","InstallerUrl","Validation-Domain"
"MAXHUB.MAXHUBShare.CN","static.cvte.com","InstallerUrl","Validation-Domain"
"mendelson.AS2","sourceforge.net","InstallerUrl","Validation-Unapproved-URL"
"Mergiraf.Mergiraf","codeberg.org","InstallerUrl","Validation-Domain"
"MeshIntelligentTechnologies.PiecesCLI","storage.googleapis.com","InstallerUrl","Validation-Domain"
"mesonbuild.meson","mesonbuild.meson","PackageIdentifier","Policy-Test-2.5"
"MicroDicom.DICOMViewer","MicroDicom.DICOMViewer","PackageIdentifier","Policy-Test-1.2"
"MicroDicom.ShellExtension","MicroDicom.ShellExtension","PackageIdentifier","Validation-No-Executables"
"Microsoft.DotNet.UninstallTool","Microsoft.DotNet.UninstallTool","PackageIdentifier","Validation-No-Executables"
"Microsoft.Office.2010.FilterPacks","Microsoft.Office.2010.FilterPacks","PackageIdentifier","Validation-No-Executables"
"Microsoft.RemoteDesktopClient","Microsoft.Skype","PackageIdentifier","Policy-Test-2.5"
"Microsoft.RemoteDesktopClient","res.cdn.office.net","InstallerUrl","Validation-Domain"
"Microsoft.RemoteDesktopMMRService","intstreamreleases.z22.web.core.windows.net","InstallerUrl","Validation-Domain"
"Microsoft.ServerSpeechPlatformRuntime","Microsoft.ServerSpeechPlatformRuntime","PackageIdentifier","Validation-No-Executables"
"Microsoft.ServiceFabricRuntime","Microsoft.ServiceFabricRuntime","PackageIdentifier","Validation-No-Executables"
"Microsoft.Skype","download.skype.com","InstallerUrl","Validation-Domain"
"Microsoft.Skype","Microsoft.Skype","PackageIdentifier","Policy-Test-2.5"
"Microsoft.WindowsAppRuntime.1.6","aka.ms","InstallerUrl","Validation-Domain"
"MinistryOfEducationOfThePRC.SmartSchools","download.ykt.cbern.com.cn","InstallerUrl","Validation-Domain"
"MintplexLabs.AnythingLLM","cdn.useanything.com","InstallerUrl","Validation-Domain"
"Mitel.MitelConnect","upgrade01.sky.shoretel.com","InstallerUrl","Validation-Domain"
"mmozeiko.wcap","raw.githubusercontent.com","InstallerUrl","Validation-Domain"
"Modyfi.Modyfi","download.todesktop.com","InstallerUrl","Validation-Domain"
"Moises.Moises","download.todesktop.com","InstallerUrl","Validation-Domain"
"monkeyWie.Gopeed","monkeyWie.Gopeed","PackageIdentifier","Policy-Test-2.7"
"monkeyWie.Gopeed.Web","monkeyWie.Gopeed.Web","PackageIdentifier","Policy-Test-2.7"
"Morgen.Morgen","download.todesktop.com","InstallerUrl","Validation-Domain"
"Morningstar.MorningstarDirectPrerequisite","Morningstar.MorningstarDirectPrerequisite","PackageIdentifier","Validation-No-Executables"
"Mossmouth.SpelunkyClassic","www.derekyu.com","InstallerUrl","Validation-Domain"
"mpv.mpv","nightly.link","InstallerUrl","Validation-Domain"
"NAVERWEBTOONLtd.SeriesComicViewer","appdown.pstatic.net","InstallerUrl","Validation-Domain"
"Navratovi.RemoteBoulderTimer","download.navrat.name","InstallerUrl","Validation-Domain"
"NDI.NDIRuntime","NDI.NDIRuntime","PackageIdentifier","Validation-No-Executables"
"NelsonNumericalSoftware.Nelson","NelsonNumericalSoftware.Nelson","PackageIdentifier","Policy-Test-2.7"
"NetEase.CloudMusicXStudio","NetEase.CloudMusicXStudio","PackageIdentifier","Validation-No-Executables"
"NewBreedSoftware.TuxPaint","sourceforge.net","InstallerUrl","Validation-unapproved-URL"
"Newforma.Konekt.Addin.Autodesk","cdn.bimtrackapp.co","InstallerUrl","Validation-Domain"
"NICESoftware.AmazonDCVClient","d1uj6qtbmh3dt5.cloudfront.net","InstallerUrl","Validation-Domain"
"NICESoftware.AmazonDCVServer","d1uj6qtbmh3dt5.cloudfront.net","InstallerUrl","Validation-Domain"
"NICESoftware.AmazonDCVSessionManagerAgent","d1uj6qtbmh3dt5.cloudfront.net","InstallerUrl","Validation-Domain"
"NICESoftware.AmazonDCVVirtualDisplay","d1uj6qtbmh3dt5.cloudfront.net","InstallerUrl","Validation-Domain"
"NirSoft.UninstallView","NirSoft.UninstallView","PackageIdentifier","Validation-No-Executables"
"nkdAgility.AzureDevOpsMigrationTools","nkdAgility.AzureDevOpsMigrationTools","PackageIdentifier","Policy-Test-2.7"
"nkdAgility.AzureDevOpsMigrationTools.Preview","nkdAgility.AzureDevOpsMigrationTools.Preview","PackageIdentifier","Policy-Test-2.7"
"NoMachine.NoMachine","NoMachine.NoMachine","PackageIdentifier","Policy-Test-2.5"
"NoMachine.NoMachine.CloudServer","NoMachine.NoMachine.CloudServer","PackageIdentifier","Policy-Test-2.5"
"NoMachine.NoMachine.EnterpriseClient","NoMachine.NoMachine.EnterpriseClient","PackageIdentifier","Policy-Test-2.5"
"NoMachine.NoMachine.EnterpriseCloudServer","NoMachine.NoMachine.EnterpriseCloudServer","PackageIdentifier","Policy-Test-2.5"
"NoMachine.NoMachine.EnterpriseCloudServerCluster","NoMachine.NoMachine.EnterpriseCloudServerCluster","PackageIdentifier","Policy-Test-2.5"
"NoMachine.NoMachine.EnterpriseDesktop","NoMachine.NoMachine.EnterpriseDesktop","PackageIdentifier","Policy-Test-2.5"
"NoMachine.NoMachine.SmallBusinessCloudServer","NoMachine.NoMachine.SmallBusinessCloudServer","PackageIdentifier","Policy-Test-2.5"
"Notion.NotionCalendar","download.todesktop.com","InstallerUrl","Validation-Domain"
"NovationDMS.LaunchkeyMK4Cubase","NovationDMS.LaunchkeyMK4Cubase","PackageIdentifier","Validation-No-Executables"
"NovationDMS.LaunchkeyMK4Cubase","fael-downloads-prod.focusrite.com","InstallerUrl","Validation-Domain"
"Nuclino.Nuclino","s3-eu-central-1.amazonaws.com","InstallerUrl","Validation-Domain"
"Nutstore.EO2","dc-pkg-cdn.jianguoyun.com","InstallerUrl","Validation-Domain"
"Objective.Trapeze","s3-ap-southeast-2.amazonaws.com","InstallerUrl","Validation-Domain"
"obot-platform.obot","obot-platform.obot","PackageIdentifier","Policy-Test-2.7"
"OctopusData.Octoparse","OctopusData.Octoparse","PackageIdentifier","Policy-Test-2.7"
"OctopusData.Octoparse.CN","download.bazhuayu.com","InstallerUrl","validation-domain"
"OctopusData.Octoparse.CN","OctopusData.Octoparse.CN","PackageIdentifier","Policy-Test-2.7"
"ODA.ODADrawingsExplorer","www.opendesign.com","InstallerUrl","Validation-Domain"
"ODA.ODADrawingsExplorer","ODA.ODADrawingsExplorer","PackageIdentifier","Policy-Test-2.7"
"ODA.ODAFileConverter","www.opendesign.com","InstallerUrl","Validation-Domain"
"ODA.ODAViewer","www.opendesign.com","InstallerUrl","Validation-Domain"
"OK1DIX.VUSC4WIN","www.ok2kkw.com","InstallerUrl","Validation-Domain"
