PackageIdentifier,Account,strictness
Microsoft.AccessibilityInsights,DaveTryon,must
Microsoft.Azd,azure-sdk,should
Microsoft.AzureCLI,Microsoft,should
Microsoft.DotNet,Microsoft (mthalman/dotnet-winget-bot),must
Microsoft.Git,Microsoft,should
Microsoft.PowerShell,Microsoft,must
Microsoft.PowerToys,Microsoft,must
Microsoft.Sqlcmd,Microsoft,should
Microsoft.SQLServerManagementStudio,Microsoft,must
Microsoft.VisualStudio,Microsoft (edwardskrod),must
Microsoft.VisualStudioCode,Microsoft (lszomoru),must
Microsoft.WindowsTerminal,Microsoft,must
MNardit.Beetroot,mnardit,should
Momento.cli,momento-github-actions-machine-user,should
MorganZWest.HSEmulate,morganzwest,should
mq1.TinyWiiBackupManager,mq1,should
mulaRahul.Keyviz,mulaRahul,should
MurkyYT.CSAuto,MurkyYT,should
Mylloon.dsr,Mylloon,should
Narazaka.vrc-tail,Narazaka,should
nasiridrishi.Yank,nasiridrishi,should
Neosku.AviUtl2-Catalog,Neosku,should
neosubhamoy.neodlp,neosubhamoy,should
Nervatura.Nervatura,Nervatura,should
NuitsJp.GistGet,nuitsjp,should
OleksisFraga.PythonLauncher,oleksis,should
pa001024.dna-builder,pa001024,should
Phoner.PhonerLite,PhonerLite,should
Pikcube.OrangeJuiceModMaker,Pikcube,should
pizzaboxer.Bloxstrap,pizzaboxer,should
pnpm.pnpm,zkochan,should
Pulumi.Pulumi,pulumi-bot,should
Pylogmon.pot,Pylogmon,should
qr243vbi.NekoBox,qr243vbi,should
Reblexis.LookPilot,Reblexis,should
relmer.TCDir,relmer,should
rgcsekaraa.NikoCLI,rgcsekaraa,should
Rheoecho.leafsheep,RheoEcho,should
rhysd.actionlint,rhysd,should
RobedPixel.SDL3,robedpixel,should
RockinChaos.Shiru,RockinChaos,should
Ruben2776.PicView,Ruben2776,should
RussellBanks.Komac,russellbanks,should
Rustlang.Rust,Rust-Winget-Bot,should
Rustlang.Rust.GNU,Rust-Winget-Bot,should
Rustlang.Rust.MSVC,Rust-Winget-Bot,should
sasler.TroubleScout,sasler,should
sharkdp.pastel,sharkdp,should
Shinokada.Tera,shinokada,should
sinelaw.fresh-editor,sinelaw,should
SKDataAS.ORMCore,skdataas,should
skssmd.Graft,skssmd,should
sohamw03.wifui,sohamw03,should
sprout2000.LeafView,sprout2000,should
srwi.EverythingToolbar.Deskband,srwi,should
srwi.EverythingToolbar.Launcher,srwi,should
stescobedo92.apppass,stescobedo92,should
Stylebending.Aperture,stylebending,should
swri.EverythingToolbar,stnkl,should
sxyazi.yazi,sxyazi,should
t1m0thyj.WinDynamicDesktop,t1m0thyj,must
Taozuhong.Kangaroo,Taozuhong,should
Taozuhong.KangarooMariaDB,taozuhong,should
Taozuhong.KangarooMongoDB,taozuhong,should
Taozuhong.KangarooMultiple,taozuhong,should
Taozuhong.KangarooMySQL,taozuhong,should
Taozuhong.KangarooOracle,taozuhong,should
Taozuhong.KangarooPostgreSQL,taozuhong,should
Taozuhong.KangarooRedis,taozuhong,should
Taozuhong.KangarooSQLite,taozuhong,should
Taozuhong.KangarooSQLServer,taozuhong,should
taygunsavas.git-tangle,taygunsavas,should
TerraFaster.scaf,TerraFaster,should
ThaUnknown.Miru,ThaUnknown,should
the-sz.Auburn,the-sz,should
the-sz.Banks,the-sz,should
the-sz.Bear,the-sz,should
the-sz.Carroll,the-sz,should
the-sz.Conroe,the-sz,should
the-sz.Doro,the-sz,should
the-sz.FlashBuilder,the-sz,should
the-sz.Howard,the-sz,should
the-sz.Lacey,the-sz,should
the-sz.Newfield,the-sz,should
the-sz.Rimhill,the-sz,should
the-sz.Seaside,the-sz,should
the-sz.SkypeFocusFix,the-sz,should
the-sz.Spencer,the-sz,should
the-sz.Yale,the-sz,should
the-sz.York,the-sz,should
thebookisclosed.ViVeTool,thebookisclosed,must
thomasschafer.scooter,thomasschafer,should
Thornvald.StellarTUI,Thornvald,should
TimKicker.Podliner,timkicker,should
Toit.Jaguar,LeonGungadinMogensen,should
TopalaSoftwareSolutions.SIW,gtopala,should
TragicCode.BuslyCLI,TraGicCode,should
trustbe.mousestride,trustbe,should
twpayne.chezmoi,twpayne,should
vedantmgoyal.sheltasks-cli,vedantmgoyal2009,must
Visual Studio,Microsoft,must
WerWolv.ImHex,WerWolv,should
willibrandon.pgtail,willibrandon,should
willvelida.code-minions,willvelida,should
Y-ASLant.ElegantClipboard,Y-ASLant,should
yetone.OpenAITranslator,yetone,should
yoogie27.largecopy,yoogie27,should
zippoxer.recall,zippoxer,should
