PackageIdentifier,Account,strictness
2BrightSparks.SyncBackFree,2BrightSparks,should
2BrightSparks.SyncBackPro,2BrightSparks,should
2BrightSparks.SyncBackSE,2BrightSparks,should
2dust.v2rayN,2dust,should
54145a.145watch,54145a,should
7gxycn08.PyAutoActions,7gxycn08,should
aiko-chan-ai.DiscordBotClient,aiko-chan-ai,should
AlexanderPro.SmartSystemMenu,AlexanderPro,should
alexeikmun.Clipped,alexeikmun,should
alexx2000.DoubleCommander,alexx2000,should
aloneguid.bt,aloneguid,should
alsofelix.crabdrop,alsofelix,should
AndyBochmann.DevKill,andybochmann,should
AppSolves.TikTok-LIVE-Automation,AppSolves,should
AwesomeDog.MaxLaunchpad,AwesomeDog,should
axpnet.AeroFTP,axpnet,should
azurejoga.brasilacessivel,azurejoga,should
BakkesMod.BakkesMod,BakkesMod,must
Benji377.Tooka,Benji377,should
biglexj.WinTTS,biglexj,should
biondi53.QuickExplorer,biondi53,should
blacktop.ipsw,blacktop,should
blacktop.ipswd,blacktop,should
brunoleocam.ZPL2PDF,brunoleocam,should
BryanCandi.BandwidthCalculator,bryancandi,should
CatBraaain.runx,CatBraaain,should
CatBraaain.winconfig,CatBraaain,should
Chocolatey.Chocolatey,pauby,must
chrisant996.Clink,chrisant996,should
Coder.Coder,cdrci,should
ctron.oidc,ctron,should
CyberIntelSystems.CICB,cyberintelsystems,should
dail8859.NotepadNext,dail8859,should
danielsiegl.gitsqlite,danielsiegl,should
Dankinations.Catboxxer,Dankinations,should
Dapr.CLI,dapr-bot,should
DarthDemono.PingDD,darthdemono,should
Deminimis.MinimalFirewall,deminimis,should
derekwisong.datui,derekwisong,should
DimonSmart.NugetMcpServer,DimonSmart,should
DimonSmart.OllamaChat,DimonSmart,should
DoltHub.Dolt,coffeegoddd,should
dom1torii.yasp,dom1torii,should
DuckStudio.ChineseGit,DuckDuckStudio/Luna-Grace/fjwxzde,must
DuckStudio.FufuDevTools,DuckDuckStudio/Luna-Grace/fjwxzde,must
DuckStudio.FufuTools,DuckDuckStudio/Luna-Grace/fjwxzde,must
DuckStudio.GitHubLabelsManager,DuckDuckStudio,must
DuckStudio.GitHubView,DuckDuckStudio,must
DuckStudio.GitHubView.Nightly,DuckDuckStudio,must
DuckStudio.Sundry,DuckDuckStudio,must
EddieTisma.Krp,eddietisma,should
EFIBootEditor.EFIBootEditor,EFIBootEditorBot,should
eitsupi.arf,eitsupi,should
Enbraining.NCPNuke,enbraining,should
erez-c137.NetSpeedTray,erez-c137,should
evandde.G4Starter,evandde,should
FabioColor.AdvancedDirtRemoval,fabiocolor,should
FabioColor.FadedBalancerDCTL,fabiocolor,should
Ferdium.Ferdium,Alpharag,should
Ferdium.Ferdium.Nightly,Alpharag,should
File-New-Project.EarTrumpet,riverar,must
flick9000.WinScript,flick9000,should
fmuecke.ExeBundle,fmuecke,should
Gildas.Bitbucket-CLI,gildas,should
gsmitheidw.iotop-w,gsmitheidw,should
HasNate618.Glyph,HasNate618,should
Hibbiki.Chromium,Hibbiki,should
houmain.spright,houmain,should
hrzlgnm.mdns-browser,hrzlgnm,should
hrzlgnm.mdns-tui-browser,hrzlgnm,should
igoogolx.lux,igoogolx,should
igorls.context-builder,igorls,should
imonoonoko.BitLlama,imonoonoko,should
imonoonoko.BitLlamaDesktop,imonoonoko,should
imsncht.repo2page,imsncht,should
JanDeDobbeleer.OhMyPosh,JanDeDobbeleer,must
jftuga.less,jftuga,should
JKamsker.ZTNetCLI,JKamsker,should
JoyHak.QuickSwitch,JoyHak,should
JPersson77.LGTVCompanion,JPersson77,should
Jul13n1.ArcAgent,Jul13n1,should
junegunn.fzf,junegunn,should
JustinGrote.PingoMeter,JustinGrote,should
Kajitsy.Emilia,kajitsy,should
kawaiiDango.pano-scrobbler,kawaiiDango,should
kayapater.VideoDownloader,kayapater,should
kayapater.WinKit,kayapater,should
Keboola.KeboolaCLI,KeboolaAsCodeBot,should
Kieirra.Murmure,Kieirra,should
kkamegawa.lastexecrecord,kkamegawa,should
krush62.KPix,krush62,should
Kuingsmile.PicList,Kuingsmile,should
LargeModGames.spotatui,LargeModGames,should
leandrofariasldf.die-cli,leandrofariasldf,should
Lenovo.SystemUpdate,philjorgensen,should
LGUG2Z.komorebi,LGUG2Z,should
Linus-Shyu.StarFetch,Linus-Shyu,should
LizardByte.Sunshine,LizardByte-bot,should
Locomorange.UIAutomationMCP,locomorange,should
loonghao.msvc-kit,loonghao,should
loonghao.vx,loonghao,should
LouisHitchcock.SerialMonitor,LouisHitchcock,should
louisjrdev.media-cli,louisjrdev,should
Lparksi.WinLux,Lparksi,should
lqdev.PodcastTUI,lqdev,should
LutzRoeder.Netron,lutzroeder,should
mar10.stressor,mar10,should
MarcoHefti.YTVodManager,marcohefti,should
MarkJamesHoward.TGit,markjameshoward,should
marlocarlo.psmux,marlocarlo,should
marlocarlo.psnet,marlocarlo,should
marlocarlo.pstop,marlocarlo,should
masaodev.quick-dash-launcher,masaodev,should
matchmycolor.Colibri,matchmycolor,should
maurizuki.O2,maurizuki,should
Microsoft.Accessibility,DaveTryon,must
