"PackageIdentifier","gitHubUserName","authStrictness","authUpdateType","autoWaiverLabel","versionParamOverrideUserName","versionParamOverridePR","code200OverrideUserName","code200OverridePR","AgreementOverridePR","AgreementUrl","reviewText"
"IcoFXSoftware.icofx","Dvd-Znf","should","auto","","","","","","","",
"IDRIX.VeraCrypt","","","","","","0","","0","147744","https://veracrypt.fr/en/VeraCrypt%20License.html",""
"igoogolx.lux","igoogolx","should","auto","","","","","","","",
"Insomnia.Inso","","","","Validation-Executable-Error","","","","","","",
"Intel.FortranCompiler","lars-nvhgroup","should","manual","","","0","","0","140928","https://cdrdv2-public.intel.com/777700/intel-end-user-license-agreement-for-developer-tools-version-april-2023.pdf",""
"Intel.oneMKL","","","","","","0","","0","140741","",
"IPEP.Scantailor-Experimental","plzombie","should","auto","","","","","","","",
"iQIYI.iQIYI","kingcean","should","auto","","","","","","","",
"Istio.Istio","ateoi","should","manual","","","","","","","",
"Jackett.Jackett","ilike2burnthing","should","auto","","","","","","","",
"JAMSoftware.JAMSoftware.UltraSearch","JAMSoftwareAutomatedTasks","should","auto","","Daniel-Tr","","","","","",
"JAMSoftware.TreeSize","JAMSoftwareAutomatedTasks","should","auto","","Daniel-Tr","","","","","",
"JanDeDobbeleer.OhMyPosh","JanDeDobbeleer","must","manual","","","","","","","",
"Japplis.AntCommander.Personal","japplis","should","manual","","","","","","","",
"Japplis.AntCommander.Pro","japplis","should","manual","","","","","","","",
"Japplis.ClipboardHistory","japplis","should","manual","","","","","","","",
"Japplis.ClipboardHistory.Pro","japplis","should","manual","","","","","","","",
"Japplis.ControlDashboard","japplis","should","manual","","","","","","","",
"Japplis.ControlDashboard.Pro","japplis","should","manual","","","","","","","",
"Japplis.Decoration","japplis","should","manual","","","","","","","",
"Japplis.DesktopWatchmaker","japplis","should","manual","","","","","","","",
"Japplis.Dictaphone","japplis","should","manual","","","","","","","",
"Japplis.Discotheek","japplis","should","manual","","","","","","","",
"Japplis.M2RepoCleaner","japplis","should","manual","","","","","","","",
"Japplis.Pastel","japplis","should","manual","","","","","","","",
"Japplis.PosterFont","japplis","should","manual","","","","","","","",
"Japplis.PosterFont.Light","japplis","should","manual","","","","","","","",
"Japplis.PostOnScreen.Pro","japplis","should","manual","","","","","","","",
"Japplis.ScreenHighlighter","japplis","should","manual","","","","","","","",
"Japplis.SheetStats","japplis","should","manual","","","","","","","",
"Japplis.SheetViewer","japplis","should","manual","","","","","","","",
"Japplis.Toolbox","japplis","should","manual","","","","","","","",
"Japplis.Toolbox.Pro","japplis","should","manual","","","","","","","",
"Japplis.TreeDataExplorer","japplis","should","manual","","","","","","","",
"Japplis.Watch","japplis","should","manual","","","","","","","",
"Japplis.Watch.Pro","japplis","should","manual","","","","","","","",
"Japplis.WebsiteOptimizer","japplis","should","manual","","","","","","","",
"JesseDuffield.Lazydocker","","","","Validation-Executable-Error","","","","","","",
"JetBrains.*","","","","","SpecterShell","","","","","",
"junegunn.fzf","junegunn","should","auto","","","","","","","",
"kairoaraujo.tufie","kairoaraujo","should","auto","","","","","","","",
"Keboola.KeboolaCLI","KeboolaAsCodeBot","should","auto","","","","","","","",
"kevinboss.port","kevinboss","should","manual","","","","","","","",
"KhronosGroup.VulkanSDK","","","","","","0","","0","139478","",
"Kingsoft.KingsoftPDF","","","","","","0","","0","139290","",
"kramo.Cartridges","","","","","kbdharun","","","","","",
"krishisrani.appel","krishisrani61","should","auto","","","","","","","",
"Kubernetes.kwok","","","","Validation-Executable-Error","","0","","0","0","",
"Lenovo.SystemUpdate","philjorgensen","should","auto","","","","","","","",
"Libretro.RetroArch","fpscan","should","auto","","","","","","","",
"lin-ycv.EverythingPowerToys","lin-ycv","should","auto","","","","","","","",
"LinwoodCloud.Butterfly","","","","Validation-Executable-Error","","","","","","",
"LizardByte.Sunshine","LizardByte-bot","should","auto","","","","","","","",
"LutzRoeder.Netron","lutzroeder","should","auto","","","","","","","",
"lycheeverse.lychee","","","","Validation-Executable-Error","","","","","","",
"mar10.stressor","mar10","should","auto","","","","","","","",
"maximmax42.CustomRP","maximmax42","should","manual","","","","","","","",
"meshmakers.octo-cli","","","","Validation-Executable-Error","","","","","","",
"MichalStrehovsky.bflat","MichalStrehovsky","should","manual","","","0","","0","0","",""
"Microsoft.Accessibility","DaveTryon","must","manual","","","","","","","",
"Microsoft.AccessibilityInsights","DaveTryon","must","manual","","","","","","","",
"Microsoft.Azd","azure-sdk","should","auto","","","","","","","",
"Microsoft.Azure.QuickReview","cmendible","should","auto","","","","","","","",
"Microsoft.AzureCLI","(Microsoft)","should","auto","","","","","","","",
"Microsoft.AzureDataStudio","(Microsoft)/erpett/Charles-Gagnon","must","manual","","","","","","","",
"Microsoft.DevHome","(Microsoft)/cinnamon-msft","should","auto","","","","","","","",
"Microsoft.devtunnel","","","","Validation-Executable-Error","","","","","","",
"Microsoft.DotNet","(Microsoft)/mthalman/dotnet-winget-bot","must","manual","","","","","","","",
"Microsoft.Git","(Microsoft)","should","auto","","","","","","","",
"Microsoft.PIX","sfreed141","should","manual","","","0","","0","146955","https://aka.ms/pix-eula-april2024",""
"Microsoft.PowerAutomateDesktop","","","","","","0","","0","139648","",
"Microsoft.PowerBI.DesktopReportServer","","","","","","0","","0","139341","",
"Microsoft.PowerShell","(Microsoft)/anamnavi","must","manual","","","","","","","",
"Microsoft.PowerShell.Previdew","(Microsoft)/anamnavi","must","manual","","","","","","","",
"Microsoft.PowerToys","(Microsoft)/crutkas/consvc","must","manual","","","","","","","",
"Microsoft.Sqlcmd","(Microsoft)","should","auto","","","","","","","",
"Microsoft.SQLServer.2012.NativeClient","","","","","","0","","0","139454","",
"Microsoft.SQLServer.2019.Developer","","","","","","0","","0","139457","",
"Microsoft.SQLServer.2019.Express","","","","","","0","","0","139456","",
"Microsoft.SQLServerManagementStudio","(Microsoft)","must","manual","","","","","","","",
"Microsoft.VisualStudio","(Microsoft)/edwardskrod","must","manual","","","","","","","",
"Microsoft.VisualStudioCode","(Microsoft)/lszomoru","must","manual","","","","","","","",
"Microsoft.VisualStudioCode.CLI","(Microsoft)/lszomoru","must","manual","","","","","","","",
"Microsoft.VisualStudioCode.Insiders","(Microsoft)/lszomoru","must","manual","","","","","","","",
"Microsoft.VisualStudioCode.Insiders.CLI","(Microsoft)/lszomoru","must","manual","","","","","","","",
"Microsoft.WindowsTerminal","(Microsoft)/consvc/DHowett","must","manual","","","","","","","",
"Momento.cli","momento-github-actions-machine-user","should","auto","","","","","","","",
"Mozilla.Firefox","","","","","krystofkrticka","","","","","",
"mpv.net","","","","Validation-Installation-Error","","","","","","",
"nektos.act","nektos-ci","should","auto","","","","","","","",
"NelsonNumericalSoftware.Nelson","Nelson-numerical-software","should","auto","","","","","","","",
"Neovim.Neovim.Nightly","nvim-winget","should","auto","","","","","","","",
"Nervatura.Nervatura","nervatura","should","auto","","","","","","","",
"NewTek.NDI5Runtime","","","","Validation-No-Executables","","0","","0","0","",
"nginxinc.nginx-prometheus-exporter","nginx-bot","should","auto","","","","","","","",
"NhekoReborn.Nheko","","","","","","0","","0","139455","",
"NI.ni-daqmx","lars-nvhgroup","should","manual","","","0","","0","140243","https://www.ni.com/content/dam/web/pdfs/legal/software_license_agreement_en.pdf",
"NI.ni-packagemanager","lars-nvhgroup","should","manual","","","0","","0","139458","https://www.ni.com/content/dam/web/pdfs/legal/software_license_agreement_en.pdf",
"NI.ni-pxiplatformservices","lars-nvhgroup","should","manual","","","0","","0","140233","https://www.ni.com/content/dam/web/pdfs/legal/software_license_agreement_en.pdf",
"NI.ni-serial","lars-nvhgroup","should","manual","","","0","","0","140987","https://www.ni.com/content/dam/web/pdfs/legal/software_license_agreement_en.pdf",
"NI.ni-systemconfiguration","lars-nvhgroup","should","manual","","","0","","0","140989","https://www.ni.com/content/dam/web/pdfs/legal/software_license_agreement_en.pdf",""
"NI.ni-visa","lars-nvhgroup","should","manual","","","0","","0","140984","https://www.ni.com/content/dam/web/pdfs/legal/software_license_agreement_en.pdf",""
"NI.ni-xnet","lars-nvhgroup","should","manual","","","0","","0","140241","https://www.ni.com/content/dam/web/pdfs/legal/software_license_agreement_en.pdf",
"NickeManarin.ScreenToGif","","","","","Trenly","","","","","",
"nkdAgility.AzureDevOpsMigrationTools","MrHinsh","should","auto","","","","","","","",
"nkdAgility.AzureDevOpsMigrationTools.Preview","MrHinsh","should","auto","","","","","","","",
"nomic.gpt4all","","","","","","0","","0","139459","",
"NoMoreFood.PuTTY-CAC","NoMoreFood","should","auto","","","","","","","",
"NumeRe.NumeRe","numeredev","should","auto","","","","","","","",
"octobuild.octobuild","slonopotamus","should","auto","","","","","","","",
"OleksisFraga.PythonLauncher","oleksis","should","auto","","","","","","","",
"OpenTofu.Tofu","","","","Validation-Executable-Error","","","","","","",
"pedrojreis.scrumchrono","pedrojreis","should","manual","","","0","","0","0","",
"Peppy.Osu!","","","","Validation-No-Executables","","","","","","",
"Phoner.PhonerLite","PhonerLite","should","auto","","","","","","","",
"Pikcube.OrangeJuiceModMaker","Pikcube","should","auto","","","","","","","",
"pit-ray.win-vind","pit-ray","should","auto","","","","","","","",
"pizzaboxer.Bloxstrap","pizzaboxer","should","auto","","","","","","","",
"pnpm.pnpm","zkochan","should","manual","","","","","","","",
"prefix-dev.pixi","ruben-arts","should","manual","Validation-Executable-Error","","","","","","",
"Princessmortix.Cobalt","princessmortix","should","manual","","","","","","","",
"PRQL.prqlc","","","","Validation-Executable-Error","","","","","","",
"Pulumi.Pulumi","pulumi-bot","should","manual","","","","","","","",
"Pylogmon.pot","Pylogmon","should","manual","","","","","","","",
"qarmin.czkawka.cli","","","","Validation-Executable-Error","","","","","","",
"rink-turksma.IntunePrepTool","rink-turksma","should","manual","","","","","","","",
"robinovitch61.wander","robinovitch61","should","auto","","","","","","","",
"Rohde&Schwarz.SDC.IETDViewPublish","RohdeSchwarz-SDC","should","auto","","","","","","","",
"Rowley.CrossWorks","","","","","","0","","0","139477","",
"rsteube.Carapace","rsteube-bot","should","auto","","","","","","","",
"Ruben2776.PicView","Ruben2776","should","auto","","","","","","","",
"RussellBanks.Komac","russellbanks","must","manual","Policy-Test-1.8","","","","","","",
"RussellBanks.Komac.Nightly","russellbanks","must","manual","Policy-Test-1.8","","","","","","",
"Rustlang.Rust","Rust-Winget-Bot","should","auto","","","","","","","",
"Rustlang.Rust.GNU","Rust-Winget-Bot","should","auto","","","","","","","",
"Rustlang.Rust.MSVC","Rust-Winget-Bot","should","auto","","","","","","","",
"ryanbekhen.nanoproxy","ryanbekhen","should","manual","","","","","","","",
"Rye.Rye","","","","Validation-Unattended-Failed","","","","","","",
"Ryujinx.Ryujinx","Exorcism0666","should","auto","Validation-Executable-Error","","","","","","",
"Ryujinx.Ryujinx.Ava","Exorcism0666","should","auto","Validation-Executable-Error","","","","","","",
"SatDump.SatDump","","","","Validation-Executable-Error","","","","","","",
"Schlaubi.Tonbrett","DRSchlaubi/tonbrett-ci","should","manual","","","","","","","",
"Schuischta.SystemLoadTracker","Schuischta","should","auto","","","0","","0","0","",
"Segger.EmbeddedStudioARM","","","","","","0","","0","139476","",
"Sentry.sentry-cli","","","","Validation-Executable-Error","","","","","","",
"sirredbeard.wslinternals","sirredbeard","should","auto","","","","","","","",
"SKDataAS.ORMCore","skdataas","should","auto","","","","","","","",
"Slonopotamus.Stevedore","slonopotamus","should","auto","","","","","","","",
"Splunk.UniversalForwarder","","","","","","0","","0","139475","",
"stacklok.frizbee","stacklok/stacklokbot","should","auto","","","","","","","",
"stacklok.minder","stacklok/stacklokbot","should","auto","","","","","","","",
"StandardNotes.StandardNotes","russellbanks","must","manual","","","","","","","",
"StefHeyenrath.GitHubReleaseNotes","StefH","should","manual","","","","","","","",
"swri.EverythingToolbar","stnkl","should","auto","","","","","","","",
"SylvainRougeaux.Metatogger","","","","Validation-Shell-Execute","","","","","","",
"t1m0thyj.WinDynamicDesktop","t1m0thyj","must","manual","","","","","","","",
"Tableau.Desktop","","","","","","0","","0","139479","",
"Tableau.PrepBuilder","","","","","","0","","0","139481","",
"Tableau.Public","","","","","","0","","0","139474","",
"Tableau.Reader","","","","","","0","","0","139471","",
"taers232c.GAMADV-XTD3","Exorcism0666","should","manual","","","","","","","",
"tangshimin.MuJing","","","","Validation-Executable-Error","","","","","","",
"Taozuhong.Kangaroo","taozuhong","should","manual","","","","","","","",
"Tauri.create-tauri-app","SpecterShell","should","manual","","","","","","","",
"TechPowerUp.GPU-Z","","","","","","0","","0","0","","Don't process removals. Host only allows package manager user agents to download."
"Tonec.InternetDownloadManager","","","","","","0","","0","0","","Adds patch versions as duplicates of the latest build version. https://github.com/microsoft/winget-pkgs/issues/128340"
"Telegram.TelegramDesktop","","","","","MaanuelMM","","","","","",
"Tencent.Foxmail","","","","Validation-Domain","","0","","0","0","",""
"Tgstation.Server","Cyberboss","should","manual","","","","","","","",
"th-ch.YouTubeMusic","youtube-music-winget","should","manual","","","0","","0","0","",
"ThaUnknown.Miru","ThaUnknown","should","manual","","","","","","","",
"the-sz.Auburn","the-sz","should","manual","","","","","","","",
"the-sz.Banks","the-sz","should","manual","","","","","","","",
"the-sz.Bear","the-sz","should","manual","","","","","","","",
"the-sz.Carroll","the-sz","should","manual","","","","","","","",
"the-sz.Conroe","the-sz","should","manual","","","","","","","",
"the-sz.Doro","the-sz","should","manual","","","","","","","",
"the-sz.FlashBuilder","the-sz","should","manual","","","","","","","",
"the-sz.Homedale","the-sz","should","manual","","","0","","0","0","",
"the-sz.Howard","the-sz","should","manual","","","","","","","",
"the-sz.Lacey","the-sz","should","manual","","","","","","","",
"the-sz.Newfield","the-sz","should","manual","","","","","","","",
"the-sz.Rimhill","the-sz","should","manual","","","","","","","",
"the-sz.Seaside","the-sz","should","manual","","","","","","","",
"the-sz.SkypeFocusFix","the-sz","should","manual","","","","","","","",
"the-sz.Spencer","the-sz","should","manual","","","","","","","",
"the-sz.Trion","the-sz","should","manual","","","","","","","",
"the-sz.Yale","the-sz","should","manual","","","","","","","",
"the-sz.York","the-sz","should","manual","","","","","","","",
"thebookisclosed.ViVeTool","thebookisclosed","must","manual","","","","","","","",
"therealpaulgg.ssh-sync","therealpaulgg","should","manual","","","0","","0","0","",
"tinygo-org.tinygo","","","","Validation-Executable-Error","","","","","","",
"Toit.Jaguar","LeonGungadinMogensen","should","auto","","","","","","","",
"TopalaSoftwareSolutions.SIW","gtopala","should","manual","","","","","","","",
"TortoiseSVN.TortoiseSVN","","","","","PckgrBot","","","","","",
"trzsz.tssh","","","","Validation-Executable-Error","","","","","","",
"twpayne.chezmoi","twpayne","should","manual","","","","","","","",
"Typst.Typst","michidk","should","manual","Validation-Executable-Error","","0","","0","0","",
"vedantmgoyal.sheltasks-cli","vedantmgoyal2009","must","manual","","","","","","","",
"veeam.veeam-agent","","","","","","0","","0","139659","",
"vim.vim","chrisbra","should","manual","","","","","","","",
"vim.vim.nightly","chrisbra","should","manual","Validation-Installation-Error","","","","","","",
"VMware.WorkstationPlayer","","","","","","0","","0","143919","https://docs.vmware.com/en/VMware-Workstation-Player/17.5/rn/vmware-workstation-175-player-release-notes/index.html",""
"VMware.WorkstationPro","","","","","","0","","0","139464","",
"Wasmer.Wasmer","","","","Validation-Executable-Error","","0","","0","0","",""
"WerWolv.ImHex","WerWolv","should","manual","","","","","","","",
"wez.wezterm","wez","should","manual","","","","","","","",
"WHONET.2023","drshtmstry","should","manual","","","","","","","",
"WHTA.Tamara","lars-nvhgroup","must","manual","","","0","","0","139830","",
"Wilfred.difftastic","","","","Validation-Executable-Error","","","","","","",
"xavidop.cxcli","xavidop","should","manual","Validation-Installation-Error","","","","","","",
"XmacsLabs.Mogan","","","","","","0","","0","139462","",
"yetone.OpenAITranslator","yetone","should","manual","","","","","","","",
"Zoom.ZoomRooms","","","","","","0","","0","139461","",
