"PackageIdentifier","gitHubUserName","authStrictness","authUpdateType","autoWaiverLabel","versionParamOverrideUserName","versionParamOverridePR","code200OverrideUserName","code200OverridePR","AgreementOverridePR","AgreementUrl","reviewText"
"2BrightSparks.SyncBackFree","2BrightSparks","should","auto","","","","","","","",
"2BrightSparks.SyncBackPro","2BrightSparks","should","auto","","","","","","","",
"2BrightSparks.SyncBackSE","2BrightSparks","should","auto","","","","","","","",
"AdGuard.dnsproxy","","","","Validation-Executable-Error","","","","","","",
"aiko-chan-ai.DiscordBotClient","aiko-chan-ai","should","auto","","","","","","","",
"AlexanderPro.SmartSystemMenu","AlexanderPro","should","manual","","","","","","","",
"amrdeveloper.gitql","AmrDeveloper","should","manual","","","","","","","",
"Anki.Anki","","","","","fabio-muramatsu","","","","","",
"AntoineAflalo.SoundSwitch","","","","","Belphemur","","","","","",
"ApeCloud.kbcli","apecloud-bot","should","manual","","","","","","","",
"aquaproj.aqua","suzuki-shunsuke","should","auto","","","","","","","",
"ART.ART","","","","Policy-Test-2.3","","","","","","",
"Aserto.DSLoad","","","","Validation-Executable-Error","","","","","","",
"Aserto.Topaz","gertd","must","manual","","","0","","0","0","",
"ast-grep.ast-grep","","","","Validation-Executable-Error","","","","","","",
"Astronomer.Astro","kushalmalani/neel-astro","should","manual","","","","","","","",
"BakkesMod.BakkesMod","BakkesMod","must","manual","","","","","","","",
"beeradmoore.dlss-swapper","beeradmoore","should","manual","","","","","","","",
"blacktop.ipsw","blacktop","should","auto","","","","","","","",
"blacktop.ipswd","blacktop","should","auto","","","","","","","",
"BlenderFoundation.Blender.LTS","EGuillemot","should","auto","","","","","","","",
"bloznelis.typioca","bloznelis","should","auto","","","","","","","",
"BlueBubbles.BlueBubbles","","","","Validation-Installation-Error","","","","","","",
"BrettMayson.HEMTT","","","","Validation-Executable-Error","","","","","","",
"Brows.App","kyourek","should","manual","","","","","","","",
"c3er.mdview","c3er","should","manual","","","","","","","",
"Chocolatey.Chocolatey","pauby/gep13/choco-bot","must","manual","","","","","","","",
"chrisant996.Clink","chrisant996","should","manual","","","","","","","",
"ClassWidgets.ClassWidgets","","must","manual","","","","","","","",
"Coder.Coder","cdrci","should","manual","","","","","","","",
"CodingWondersSoftware.DISMTools.Stable","CodingWonders","should","auto","","","","","","","",
"Coloryr.ColorMC","Coloryr","should","manual","","","","","","","",
"craftablescience.VPKEdit","craftablescience","should","manual","","","","","","","",
"creativeprojects.resticprofile","","","","Validation-Executable-Error","","0","","0","0","",
"DanielMcGuireCorporation.MathBotCLI","DanielLMcGuire","should","manual","","","","","","","",
"DanielMcGuireCorporation.SimpleBrowser","DanielLMcGuire","should","manual","","","","","","","",
"Dapr.CLI","dapr-bot","should","manual","","","","","","","",
"Datadog.Agent","robot-github-winget-datadog-agent","should","auto","","","0","","0","0","",
"Devolutions.Launcher","devolutionsbot","should","manual","","","","","","","",
"Devolutions.RemoteDesktopManagerAgent","devolutionsbot","should","manual","","","","","","","",
"DoltHub.Dolt","coffeegoddd","should","manual","","","","","","","",
"Doppler.doppler","doppler-bot","should","manual","","","","","","","",
"ducaale.xh","ducaale","should","manual","Validation-Executable-Error","","","","","","",
"dundee.gdu","dundee","should","manual","","","0","","0","0","",
"dustinblackman.oatmeal","dustinblackman","should","manual","","","","","","","",
"DVSTSEOOD.QOps","qops-hub","should","manual","Validation-No-Executables","","","","","","",
"DuckStudio.FufuTools","DuckDuckStudio/Luna-Grace/fjwxzde","must","","","","","","","",
"DuckStudio.FufuDevTools","DuckDuckStudio/Luna-Grace/fjwxzde","must","","","","","","","",
"DuckStudio.ChineseGit","DuckDuckStudio/Luna-Grace/fjwxzde","must","","","","","","","",
"DuckStudio.GitHubLabelsManager","DuckDuckStudio","must","","","","","","","",
"DuckStudio.GitHubView","DuckDuckStudio","must","","","","","","","",
"DuckStudio.GitHubView.Nightly","DuckDuckStudio","must","","","","","","","",
"DuckStudio.Sundry","DuckDuckStudio","must","","","","","","","",
"EFIBootEditor.EFIBootEditor","EFIBootEditorBot","should","auto","","","","","","","",
"EliWeitzman.ETT","eliweitzman","should","auto","","","","","","","",
"Emurasoft.EmEditor","yutakaemura","should","auto","","","","","","","",
"ErikAraojo.FintX","namigop","should","manual","","","","","","","",
"erikbra.grate","erikbra","should","manual","","","","","","","",
"Ferdium.Ferdium","Alphrag","should","auto","","","","","","","",
"Ferdium.Ferdium.Nightly","Alphrag","should","auto","","","","","","","",
"File-New-Project.EarTrumpet","riverar","must","manual","","","","","","","",
"Fort.Firewall","","","","","","Emi-Emi-Emi","139421","","","",
"FOSSA.FOSSA-cli","","","","Validation-Executable-Error","","","","","","",
"FreeDV.FreeDV","","","","","fancybody","","","","","",
"G0rocks.Cab","G0rocks","should","manual","","","0","","0","0","",
"GalvanizeInc.GalvanizeCirrus","andrewsingley-glv","should","auto","","","","","","","",
"Genivia.ugrep","genivia-inc","should","manual","Validation-Executable-Error","","0","","0","0","",
"Genivia.ugrep","genivia-inc","should","auto","Validation-Executable-Error","","","","","","",
"GiulioSorrentino.astroni","numerunix","should","auto","Validation-No-Executables","","","","","","",
"GiulioSorrentino.Backgrounds","numerunix","should","auto","Validation-No-Executables","","","","","","",
"GiulioSorrentino.BackgroundsOtto","numerunix","should","auto","Validation-No-Executables","","","","","","",
"GiulioSorrentino.CBriscola.WPF","numerunix","should","auto","","","","","","","",
"GiulioSorrentino.numeronesfortuneinavalonia ","numerunix","should","auto","Validation-No-Executables","","","","","","",
"GiulioSorrentino.WinDateFrom","numerunix","should","auto","","","","","","","",
"GiulioSorrentino.wxBriscola","numerunix","should","manual","Waived-Validation-Executable-Error","","0","","0","0","",
"GNU.Nano","","","","Validation-Executable-Error","","","","","","",
"goplus.gop","cpunion","should","auto","Validation-Executable-Error","","","","","","",
"goreleaser.goreleaser","caarlos0","should","auto","Validation-Executable-Error","","","","","","",
"goreleaser.goreleaser-pro","caarlos0","should","auto","Validation-Executable-Error","","","","","","",
"GorillaDevs.Ferium","","","","Validation-Executable-Error","","","","","","",
"Guilded.Guilded","","","","","Always Fails Due To Spaces In Version.","","","","","",
"Gyan.FFmpeg","","","","","BiosPlus","","","","","",
"h3poteto.whalebird-desktop","itsAdee","should","auto","","","","","","","",
"Hashicorp.Nomad","","","","Validation-Executable-Error","","0","","0","0","",
"haskell.cabal","","","","Validation-Executable-Error","","","","","","",
"HiroshibaKazuyuki.VOICEVOX","","","","Validation-Executable-Error","","","","","","",
"HiroshibaKazuyuki.VOICEVOX.CPU","","","","Validation-Executable-Error","","","","","","",
"hrkfdn.ncspot","","","","Validation-Executable-Error","","0","","0","0","",
