PackageIdentifier,Label
AdGuard.dnsproxy,Validation-Executable-Error
ART.ART,Policy-Test-2.3
Aserto.DSLoad,Validation-Executable-Error
ast-grep.ast-grep,Validation-Executable-Error
BlueBubbles.BlueBubbles,Validation-Installation-Error
BrettMayson.HEMTT,Validation-Executable-Error
ducaale.xh,Validation-Executable-Error
FOSSA.FOSSA-cli,Validation-Executable-Error
Genivia.ugrep,Validation-Executable-Error
GiulioSorrentino.astroni,Validation-No-Executables
GiulioSorrentino.Backgrounds,Validation-No-Executables
GiulioSorrentino.BackgroundsOtto,Validation-No-Executables
GNU.Nano,Validation-Executable-Error
goplus.gop,Validation-Executable-Error
goreleaser.goreleaser-pro,Validation-Executable-Error
goreleaser.goreleaser,Validation-Executable-Error
haskell.cabal,Validation-Executable-Error
HiroshibaKazuyuki.VOICEVOX,Validation-Executable-Error
HiroshibaKazuyuki.VOICEVOX.CPU,Validation-Executable-Error
Insomnia.Inso,Validation-Executable-Error
JesseDuffield.Lazydocker,Validation-Executable-Error
LinwoodCloud.Butterfly,Validation-Executable-Error
lycheeverse.lychee,Validation-Executable-Error
Microsoft.devtunnel,Validation-Executable-Error
Microsoft.VisualStudioCode.CLI,Validation-Executable-Error
Microsoft.VisualStudioCode.Insiders,Validation-Executable-Error
mpv.net,Validation-Installation-Error
OpenTofu.Tofu,Validation-Executable-Error
Peppy.Osu!,Validation-No-Executables
PRQL.prqlc,Validation-Executable-Error
qarmin.czkawka.cli,Validation-Executable-Error
RussellBanks.Komac,Policy-Test-1.8
Rye.Rye,Validation-Unattended-Failed
Ryujinx.Ryujinx,Validation-Executable-Error
Ryujinx.Ryujinx.Ava,Validation-Executable-Error
SatDump.SatDump,Validation-Executable-Error
Sentry.sentry-cli,Validation-Executable-Error
SylvainRougeaux.Metatogger,Validation-Shell-Execute
tangshimin.MuJing,Validation-Executable-Error
tinygo-org.tinygo,Validation-Executable-Error
trzsz.tssh,Validation-Executable-Error
Wilfred.difftastic,Validation-Executable-Error
yt-dlp.yt-dlp.nightly,Validation-Installation-Error
