"Label","Logset","StringSet","MatchOffset","LengthSet"
"Binary-Validation-Error","25|27|30|34|53|57","0","",""
"Internal-Error","15|25|54|56|57|58","1|9|12","",""
"Manifest-AppsAndFeaturesVersion-Error","30|14|42|46|48|34","1|2","",""
"Manifest-Installer-Validation-Error","42|43|48","1|2","",""
"Manifest-Validation-Error","30|14|23|34|39|42|46|47","8|2|10|11","",""
"PullRequest-Error","13|14|27|33|41|45|68","1|9","",""
"Validation-Forbidden-URL-Error","21|23|53|55","9","",""
"Error-Hash-Mismatch","53|25|41|57|59|60|46","0","","10"
